dominio,funcao,proposito,tipo_trigger,verify_jwt,chamadores,tabelas_supabase,env_vars,apis_externas,suspeita_morta,desativada_410
Catálogo,translate-resin-card,Tradução de card de resina (PT/EN/ES),http,true(default),src: src/components/resin-card/ResinCardStudio.tsx:139,resins,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Conteúdo/SEO,ai-content-formatter,Formatador HTML/Markdown via IA,http,true(default),(NENHUM chamador encontrado),"external_links, knowledge_contents, resin_documents","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, exemplo.com",True,False
Conteúdo/SEO,ai-enrich-pdf-content,Enriquece PDF com IA,http,false,src: src/components/AdminKnowledge.tsx:300,"authors, knowledge_contents, parameter_sets, resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,ai-generate-og-image,Gera imagem OG,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,"POE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,ai-metadata-generator,Gera metadados SEO,http,true,src: src/components/AdminKnowledge.tsx:4192,knowledge_contents,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh",False,False
Conteúdo/SEO,ai-orchestrate-content,Orquestra geração de conteúdo,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"catalog_documents, external_links, knowledge_contents, parameter_sets, resin_documents, resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, schema.org",False,False
Conteúdo/SEO,audit-vitality-protocol,Auditoria de protocolos alucinados,cron,true(default),(NENHUM chamador encontrado),"knowledge_contents, resins, system_health_logs","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, esm.sh, parametros.smartdent.com.br",True,False
Conteúdo/SEO,auto-inject-product-cards,Injeta cards de produto em artigos,http,false,src: src/components/AdminLinkBuildingValidator.tsx:290; src/components/AdminLinkBuildingValidator.tsx:316,"knowledge_contents, resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,document-proxy,Proxy de download de documento,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,,deno.land,False,False
Conteúdo/SEO,enrich-article-seo,Enriquece artigo (SEO),http,false,src: src/components/AdminArticleEnricher.tsx:49,"external_links, knowledge_contents","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, schema.org",False,False
Conteúdo/SEO,enrich-resins-from-apostila,Enriquece resinas a partir de apostila,http,false,src: src/components/AdminApostilaImporter.tsx:264,"resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,event-generate-about,Gera about de evento,http,true(default),src: src/components/smartops/events/EventAIPanels.tsx:155,smartops_events,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",ai.gateway.lovable.dev,False,False
Conteúdo/SEO,event-generate-image,Gera imagem de evento,http,true(default),src: src/components/smartops/events/EventAIPanels.tsx:235; src/components/smartops/events/EventAIPanels.tsx:259; src/components/smartops/events/EventAIPanels.tsx:277,smartops_events,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",ai.gateway.lovable.dev,False,False
Conteúdo/SEO,event-web-research,Pesquisa web para evento,http,true(default),src: src/components/smartops/events/EventAIPanels.tsx:50,,"FIRECRAWL_API_KEY, GOOGLE_AI_KEY","api.firecrawl.dev, generativelanguage.googleapis.com",False,False
Conteúdo/SEO,export-apostila-docx,Exporta apostila .docx,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"authors, brands, catalog_documents, external_links, knowledge_categories, knowledge_contents, knowledge_videos, models (+5)","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, player-vz-004839ee-19a.tv.pandavideo.com.br, smartdent3d.com.br",False,False
Conteúdo/SEO,export-parametros-ia,Exporta parâmetros IA,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"brands, models, parameter_sets, resins","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br",False,False
Conteúdo/SEO,export-processing-instructions,Exporta instruções,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),resins,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br",False,False
Conteúdo/SEO,extract-and-cache-pdf,Extrai e cacheia PDF,http,false,src: src/components/AdminKnowledge.tsx:825; src/hooks/usePdfExtraction.ts:11,"resins, system_a_catalog","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,extract-commercial-expertise,Extrai expertise comercial,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"company_kb_texts, knowledge_videos, system_a_catalog","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, deno.land, esm.sh",False,False
Conteúdo/SEO,extract-pdf-raw,Extrai texto cru de PDF,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,LOVABLE_API_KEY,"ai.gateway.lovable.dev, deno.land",False,False
Conteúdo/SEO,extract-pdf-specialized,Extrator especializado de PDF,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),,LOVABLE_API_KEY,"ai.gateway.lovable.dev, deno.land",False,False
Conteúdo/SEO,extract-pdf-text,Extrai texto de PDF,http,false,src: src/components/AdminApostilaImporter.tsx:626,,,deno.land,False,False
Conteúdo/SEO,extract-video-content,Extrai conteúdo de vídeo,http,true(default),src: src/components/VideoContentExtractor.tsx:53,knowledge_videos,"PANDAVIDEO_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api-v2.pandavideo.com.br, deno.land, esm.sh, www.youtube.com",False,False
Conteúdo/SEO,format-processing-instructions,Formata instruções de processamento,http,false,src: src/components/AdminModal.tsx:1352,,LOVABLE_API_KEY,"ai.gateway.lovable.dev, deno.land",False,False
Conteúdo/SEO,generate-certificate,Gera certificado,http,false,src: src/components/SmartOpsCourses.tsx:1006; src/components/SmartOpsCourses.tsx:936,"smartops_course_enrollments, smartops_course_turmas, smartops_enrollment_companions, smartops_turma_days","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Conteúdo/SEO,generate-documents-sitemap,Sitemap documentos,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),resin_documents,"SUPABASE_ANON_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, www.sitemaps.org",False,False
Conteúdo/SEO,generate-knowledge-sitemap,Sitemap KB PT,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"knowledge_categories, knowledge_contents","SUPABASE_ANON_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, www.sitemaps.org",False,False
Conteúdo/SEO,generate-knowledge-sitemap-en,Sitemap KB EN,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),knowledge_contents,"SUPABASE_ANON_KEY, SUPABASE_URL","deno.land, esm.sh, parametros.smartdent.com.br, www.sitemaps.org",False,False
Conteúdo/SEO,generate-knowledge-sitemap-es,Sitemap KB ES,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),knowledge_contents,"SUPABASE_ANON_KEY, SUPABASE_URL","deno.land, esm.sh, parametros.smartdent.com.br, www.sitemaps.org",False,False
Conteúdo/SEO,generate-parameter-pages,Gera páginas de parâmetros,http,false,src: src/components/AdminParameterPages.tsx:33,"knowledge_categories, knowledge_contents, parameter_sets","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, schema.org",False,False
Conteúdo/SEO,generate-sitemap,Gera sitemap principal,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"brands, knowledge_categories, knowledge_contents, models, parameter_sets, resin_documents, system_a_catalog","SUPABASE_ANON_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, www.sitemaps.org",False,False
Conteúdo/SEO,generate-veredict-data,Gera dados de veredicto,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),knowledge_contents,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,heal-knowledge-gaps,Trata lacunas de KB,cron,true,(NENHUM chamador encontrado),"agent_embeddings, agent_knowledge_gaps, knowledge_gap_drafts, user_roles","DEEPSEEK_API_KEY, GOOGLE_AI_KEY, LOVABLE_API_KEY, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, api.deepseek.com, deno.land, esm.sh",True,False
Conteúdo/SEO,index-embeddings,Indexa embeddings,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_embeddings, authors, company_kb_texts, knowledge_contents, knowledge_videos, parameter_sets, resins, system_a_catalog","GOOGLE_AI_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","aistudio.google.com, deno.land, esm.sh, loja.smartdent.com.br, parametros.smartdent.com.br, smartdent.com.br (+3)",False,False
Conteúdo/SEO,index-spin-entries,Indexa SPIN entries,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_embeddings, company_kb_texts","GOOGLE_AI_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,ingest-knowledge-text,Ingest de texto KB,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_embeddings, company_kb_texts","GOOGLE_AI_KEY, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
Conteúdo/SEO,knowledge-feed,Feed KB,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"knowledge_categories, knowledge_contents","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, purl.org",False,False
Conteúdo/SEO,landing-page-generator,Gerador de landing page,http,true(default),src: src/components/smartops/LandingPageBuilderModal.tsx:211,"products_catalog, smartops_forms, system_a_catalog","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",ai.gateway.lovable.dev,False,False
Conteúdo/SEO,link-videos-to-articles,Linka vídeos a artigos,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"knowledge_categories, knowledge_contents, knowledge_videos","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Conteúdo/SEO,llms-full-txt,Serve llms-full.txt,http,true(default),(NENHUM chamador encontrado),"distributors, knowledge_contents, smartops_events","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, llmstxt.org, parametros.smartdent.com.br, www.wikidata.org",True,False
Conteúdo/SEO,llms-txt,Serve llms.txt,http,true(default),(NENHUM chamador encontrado),,,deno.land,True,False
Conteúdo/SEO,reformat-article-html,Reformat HTML de artigo,http,false,src: src/components/AdminArticleReformatter.tsx:163; src/components/AdminArticleReformatter.tsx:200; src/lib/reformatBatchRunner.ts:111,knowledge_contents,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","..., deno.land, esm.sh",False,False
Conteúdo/SEO,rss-feed,RSS feed,http,true(default),(NENHUM chamador encontrado),knowledge_contents,"SUPABASE_ANON_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, purl.org",True,False
Conteúdo/SEO,seo-llms-txt,Serve llms.txt dinâmico,http,true(default),(NENHUM chamador encontrado),,,"deno.land, parametros.smartdent.com.br",True,False
Conteúdo/SEO,seo-proxy,Proxy SSR para bots,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"authors, brands, distributors, external_links, knowledge_categories, knowledge_contents, knowledge_videos, models (+5)","SUPABASE_ANON_KEY, SUPABASE_URL","bv.fapesp.br, esm.sh, img.youtube.com, lattes.cnpq.br, loja.smartdent.com.br, orcid.org (+14)",False,False
Conteúdo/SEO,smartops-gerar-comprovante-imersao,Comprovante de imersão,http,true(default),(NENHUM chamador encontrado),"lia_attendances, omie_notas_fiscais, smartops_course_enrollments, smartops_course_turmas, smartops_courses, smartops_enrollment_companions","SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,True,False
Conteúdo/SEO,smartops-gerar-crachas-turma,Gera crachás de turma,http,true(default),(NENHUM chamador encontrado),"lia_attendances, smartops_course_enrollments, smartops_course_turmas, smartops_courses, smartops_enrollment_companions","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,True,False
Conteúdo/SEO,smartops-gerar-doc-turma,Gera doc de turma,http,true(default),(NENHUM chamador encontrado),"lia_attendances, smartops_course_enrollments, smartops_course_turmas, smartops_courses, smartops_enrollment_companions","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",,True,False
Conteúdo/SEO,translate-card-row,Tradução de card,http,false,src: src/hooks/useCardTranslations.ts:59; src/hooks/useCatalogCRUD.ts:197; src/hooks/useCatalogCRUD.ts:200,,"LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Conteúdo/SEO,translate-content,Tradução de conteúdo,http,false,src: src/components/AdminBatchTranslator.tsx:83; src/components/AdminKnowledge.tsx:1336; src/components/KnowledgeContentViewer.tsx:107 | fn: generate-parameter-pages,,,deno.land,False,False
Conteúdo/SEO,video-sitemap,Sitemap dinâmico de vídeos,http,true(default),(NENHUM chamador encontrado),knowledge_videos,"SUPABASE_ANON_KEY, SUPABASE_URL","esm.sh, parametros.smartdent.com.br, www.google.com, www.sitemaps.org",True,False
Cursos/NPS,astron-member-lookup,Lookup de membro Astron,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"ASTRON_AM_KEY, ASTRON_AM_SECRET, ASTRON_CLUB_ID, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.astronmembers.com.br, esm.sh, smartdentacademy.astronmembers.com",False,False
Cursos/NPS,cs-enviar-nps,Cron diário 08h: envia link NPS por WhatsApp (instância cs_principal),cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"lia_attendances, smartops_course_enrollments, smartops_course_turmas, system_health_logs, team_members","CS_EVOLUTION_INSTANCE, EVOLUTION_API_KEY, EVOLUTION_API_URL, NPS_PUBLIC_BASE_URL, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","82.25.75.61, admin.smartdent.com.br, esm.sh",False,False
Cursos/NPS,cs-nps-responder,Endpoint público que recebe resposta de NPS via token opaco,webhook,false,src: src/pages/PublicNps.tsx:42; src/pages/PublicNps.tsx:79,"lia_attendances, smartops_course_enrollments, smartops_nps_responses, system_health_logs","PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,True
Cursos/NPS,import-astron-csv,Import CSV Astron,http,false,src: src/components/AdminAstronImport.tsx:83,lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","esm.sh, smartdentacademy.astronmembers.com",False,False
Cursos/NPS,pandavideo-test,Teste PandaVideo,http,false,src: src/components/AdminPandaVideoTest.tsx:21,,PANDAVIDEO_API_KEY,"api-v2.pandavideo.com.br, data.pandavideo.com, deno.land",False,False
Cursos/NPS,smartops-public-enrollment,Inscrição pública em turma,http,true(default),src: src/pages/PublicCourseEnrollment.tsx:144,"lead_activity_log, lead_conversion_history, lia_attendances, smartops_course_enrollments, smartops_course_turmas, smartops_courses, smartops_form_field_responses","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Cursos/NPS,smartops-public-nps,NPS público de turma,http,true(default),src: src/pages/PublicCourseEnrollment.tsx:386,"smartops_course_enrollments, smartops_nps_responses","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Cursos/NPS,smartops-send-course-reminder,Envia lembrete de curso,cron,true(default),pg_cron: */5 * * * * (smartops-course-reminder-1h),"lia_attendances, smartops_course_enrollments, team_members","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
Cursos/NPS,sync-astron-members,Sync membros Astron,cron,false,pg_cron: 0 6 * * * (sync-astron-members-daily),lia_attendances,"ASTRON_AM_KEY, ASTRON_AM_SECRET, ASTRON_CLUB_ID, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.astronmembers.com.br, esm.sh, smartdentacademy.astronmembers.com",False,False
Cursos/NPS,sync-pandavideo,Sync vídeos PandaVideo,cron,false,src: src/components/AdminPandaVideoSync.tsx:40; src/components/AdminVideoProductLinks.tsx:51,"knowledge_videos, pandavideo_folders, resins, system_a_catalog","PANDAVIDEO_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api-v2.pandavideo.com.br, esm.sh",False,False
Cursos/NPS,sync-video-analytics,Sync analytics de vídeo,cron,false,src: src/hooks/useVideoOpportunities.ts:279,"knowledge_video_metrics_log, knowledge_videos","PANDAVIDEO_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","data.pandavideo.com, deno.land, esm.sh",False,False
Cursos/NPS,training-create-drive-folder,Cria pasta Drive da turma,http,false,src: src/components/smartops/CriarPastaDriveButton.tsx:28; src/components/smartops/CriarPastaDriveButton.tsx:52,smartops_course_turmas,"GOOGLE_DRIVE_API_KEY, GOOGLE_DRIVE_PARENT_FOLDER_ID, LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, drive.google.com, esm.sh",False,False
E-commerce/Loja Integrada,import-loja-integrada,Import pedidos Loja Integrada,http,false,src: src/components/LojaIntegradaImporter.tsx:68,"resins, system_a_catalog","LOJA_INTEGRADA_API_KEY, LOJA_INTEGRADA_APP_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.awsli.com.br, deno.land, esm.sh, loja.smartdent.com.br",False,False
E-commerce/Loja Integrada,smart-ops-li-import-runner,Runner one-shot de import de staging Loja Integrada via lotes HTTP,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"loja_integrada_pedidos_items_import, resins, system_a_catalog","LI_IMPORT_SHARED_SECRET, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
E-commerce/Loja Integrada,sync-loja-integrada-clients,Sync clientes Loja Integrada,cron,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),lia_attendances,"LOJA_INTEGRADA_API_KEY, LOJA_INTEGRADA_APP_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.awsli.com.br, esm.sh",False,False
IA/Dra LIA/Copilot,automacoes-lia,Automações LIA (regras),cron,true(default),src: src/components/smartops/SmartOpsLiaAutomations.tsx:101; src/components/smartops/SmartOpsLiaAutomations.tsx:71; src/components/smartops/SmartOpsLiaAutomations.tsx:86,"lia_automations, short_links, system_health_logs","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
IA/Dra LIA/Copilot,batch-cognitive-analysis,Batch análise cognitiva,cron,false,pg_cron: 30 */4 * * * (batch-cognitive-analysis-4h),lia_attendances,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,False,False
IA/Dra LIA/Copilot,cognitive-lead-analysis,Análise cognitiva por lead,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_interactions, lead_state_events, leads, lia_attendances, lia_cognitive_insights, opportunity_rules, smartops_form_field_responses, system_health_logs","DEEPSEEK_API_KEY, PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","api.deepseek.com, deno.land, esm.sh",False,False
IA/Dra LIA/Copilot,copilot-draft-knowledge-article,Ação Copilot KB,http,true(default),fn: smart-ops-copilot,knowledge_contents,LOVABLE_API_KEY,"ai.gateway.lovable.dev, deno.land",False,False
IA/Dra LIA/Copilot,copilot-ingest-method-doc,Ação Copilot KB,http,true(default),src: src/components/SmartOpsCopilot.tsx:293 | fn: smart-ops-copilot,,LOVABLE_API_KEY,"ai.gateway.lovable.dev, deno.land, esm.sh",False,False
IA/Dra LIA/Copilot,copilot-publish-knowledge-article,Ação Copilot KB,http,true(default),fn: smart-ops-copilot,knowledge_contents,"SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
IA/Dra LIA/Copilot,dra-lia,Endpoint chat Dra. LIA (web),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_interactions, agent_sessions, brands, content_requests, distributors, image_query_logs, knowledge_videos, lead_activity_log (+9)","DEEPSEEK_API_KEY, DRA_LIA_HISTORY_WINDOW, GOOGLE_AI_KEY, LOVABLE_API_KEY, PIPERUN_API_KEY, SELLFLUX_WEBHOOK_LEADS, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","., admin.smartdent.com.br, ai.gateway.lovable.dev, api.deepseek.com, api.pipe.run, deno.land (+8)",False,False
IA/Dra LIA/Copilot,dra-lia-export,Export conversas Dra. LIA,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),agent_interactions,"SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
IA/Dra LIA/Copilot,dra-lia-whatsapp,Dra. LIA via WhatsApp,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_interactions, agent_sessions, lia_attendances, team_members, wa_lid_phone_map, whatsapp_inbox","SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh, parametros.smartdent.com.br",False,False
IA/Dra LIA/Copilot,mcp-server,MCP server,http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"knowledge_base, lia_attendances, videos","MCP_AUTH_TOKEN, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","deno.land, esm.sh",False,False
IA/Dra LIA/Copilot,smart-ops-copilot,Copilot Senior Manager (chat),http,false,(nenhum chamador interno; verify_jwt=false → provável webhook externo/público),"agent_interactions, agent_internal_lookups, astron_courses, campaign_sessions, commercial_faqs, knowledge_contents, knowledge_videos, lead_activity_log (+19)","ANTHROPIC_API_KEY, COPILOT_ALLOW_CLAUDE, DEEPSEEK_API_KEY, LOJA_INTEGRADA_API_KEY, LOJA_INTEGRADA_APP_KEY, LOVABLE_API_KEY, POE_API_KEY, SELLFLUX_WEBHOOK_CAMPANHAS, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL (+1)","..., ai.gateway.lovable.dev, api.anthropic.com, api.awsli.com.br, api.deepseek.com, api.poe.com (+3)",False,False
IA/Dra LIA/Copilot,smart-ops-generate-email-ai,Gera conteúdo de e-mail via IA,http,true(default),src: src/components/smartops/EmailCampaignWizard.tsx:240,"smartops_form_landing_pages, smartops_forms, system_a_catalog","LOVABLE_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, esm.sh",False,False
IA/Dra LIA/Copilot,smart-ops-lia-assign,Roteamento de leads + Golden Rule + criação de deal,http,false,src: src/components/smartops/KanbanLeadDetail.tsx:187,"agent_interactions, cognitive_lead_locks, cs_automation_rules, deals, lead_activity_log, leads, lia_attendances, smartops_form_field_responses (+2)","DEEPSEEK_API_KEY, LOVABLE_API_KEY, PIPERUN_API_KEY, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL","ai.gateway.lovable.dev, api.deepseek.com, app.pipe.run, esm.sh",False,False
IA/Dra LIA/Copilot,smart-ops-lia-notify-seller,Envia briefing SmartOps ao vendedor via Evolution API,http,true(default),(NENHUM chamador encontrado),"lia_attendances, message_logs, team_members","NOTIFY_SELLER_INSTANCE, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_URL",esm.sh,True,False
